strain,type,rating,effects_1,effects_2,effects_3,effects_4,effects_5,flavor_1,flavor_2,flavor_3,flavor_4
Berry-White,indica,4.4,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Berry,Sweet,Blueberry,
Bertberry-Cheesecake,sativa,5,Uplifted,Creative,Euphoric,Focused,Energetic,Cheese,Berry,Tree,Fruit
Berts-Cookie-Dough,hybrid,5,Uplifted,Energetic,Happy,Hungry,,None,,,
Bettie-Page,hybrid,4.2,Creative,Uplifted,Energetic,Euphoric,Relaxed,Earthy,Sweet,Blue,Cheese
Bianca,hybrid,4.2,Relaxed,Sleepy,Euphoric,Focused,Creative,Earthy,Woody,Spicy/Herbal,
Biddy-Early,hybrid,4.2,Creative,Euphoric,Focused,Uplifted,Energetic,Sweet,Flowery,Diesel,
Big-Band,hybrid,4.6,Relaxed,Happy,Euphoric,Hungry,Talkative,Sweet,Spicy/Herbal,Sage,
Big-Bang,indica,4.1,Relaxed,Sleepy,Happy,Euphoric,Aroused,Sweet,Orange,Lemon,
Big-Bud,indica,3.9,Relaxed,Euphoric,Sleepy,Happy,Tingly,Earthy,Skunk,Flowery,
Big-Budda-Cheese,hybrid,4.2,Happy,Relaxed,Euphoric,Uplifted,Giggly,Cheese,Earthy,Flowery,
Big-Holy-Nina,hybrid,4,Talkative,Uplifted,Euphoric,Happy,Relaxed,Lime,Lemon,Earthy,
Big-Kush,hybrid,4.7,Uplifted,Relaxed,Euphoric,Creative,Focused,Citrus,Lemon,Skunk,
Big-Mac,indica,5,Relaxed,Aroused,Sleepy,Talkative,Tingly,Sweet,Berry,Blueberry,
Big-Skunk-Korean,hybrid,4,Talkative,Uplifted,Creative,Energetic,Hungry,Flowery,Skunk,,
Big-Sky-Og,hybrid,4.7,Relaxed,Tingly,Uplifted,Hungry,Sleepy,Pungent,Skunk,Diesel,
Big-Smooth,hybrid,5,Happy,Relaxed,Giggly,Uplifted,Aroused,Blueberry,Spicy/Herbal,Nutty,
Big-Sur-Holy-Bud,sativa,4,Relaxed,Uplifted,Focused,Euphoric,Energetic,Earthy,Menthol,Pine,
Big-White,indica,4.2,Relaxed,Uplifted,Happy,Sleepy,Euphoric,Flowery,Diesel,Sweet,
Big-Wreck,indica,4.1,Relaxed,Tingly,Euphoric,Happy,Uplifted,Earthy,Pungent,Nutty,
Biker-Leblanc,hybrid,4.5,Relaxed,Focused,Energetic,Euphoric,Aroused,Spicy/Herbal,Sage,Earthy,
Bio-Diesel,hybrid,4.4,Euphoric,Happy,Relaxed,Energetic,Uplifted,Diesel,Earthy,Pungent,
Bio-Jesus,hybrid,4.6,Happy,Relaxed,Euphoric,Sleepy,Uplifted,Earthy,Chemical,Diesel,
Biochem,indica,4.4,Relaxed,Euphoric,Tingly,Sleepy,Happy,Spicy/Herbal,Earthy,Cheese,
Birds-Eye,sativa,5,Happy,Uplifted,Energetic,Euphoric,Relaxed,,,,
Birthday-Cake-Kush,hybrid,4.5,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Sweet,Vanilla,Lemon,
Black-84,indica,4.5,Relaxed,Sleepy,Happy,Hungry,Euphoric,Pungent,Earthy,Grape,
Black-Afghan,indica,4.6,Relaxed,Sleepy,Hungry,Happy,Euphoric,Earthy,Pine,Pepper,
Black-Betty,hybrid,4.5,Euphoric,Relaxed,Happy,Uplifted,Energetic,Sweet,Berry,Pungent,
Black-Bubba,indica,4.5,Happy,Relaxed,Sleepy,Tingly,Euphoric,Earthy,Flowery,Pine,
Black-Cherry-Cheesecake,hybrid,4.5,Creative,Relaxed,Euphoric,Hungry,Uplifted,Berry,Sweet,Cheese,
Black-Cherry-Og,indica,4.4,Relaxed,Uplifted,Happy,Giggly,Euphoric,Berry,Sweet,Earthy,
Black-Cherry-Pie,hybrid,5,Relaxed,Uplifted,Creative,Euphoric,Happy,Earthy,Berry,Sweet,
Black-Cherry-Soda,hybrid,4.3,Relaxed,Happy,Euphoric,Hungry,Uplifted,Sweet,Berry,Earthy,
Black-Dhalia,hybrid,4,Relaxed,Happy,Sleepy,Euphoric,Tingly,Sweet,Earthy,Spicy/Herbal,
Black-Diamond,indica,4.4,Relaxed,Happy,Euphoric,Uplifted,Hungry,Earthy,Woody,Berry,
Black-Diesel,sativa,4.1,Relaxed,Happy,Hungry,Talkative,Euphoric,Diesel,Pungent,Earthy,
Black-Domina,indica,4.2,Relaxed,Euphoric,Happy,Sleepy,Uplifted,Pepper,Pine,Woody,
Black-Haze,hybrid,4.4,Relaxed,Euphoric,Happy,Uplifted,Focused,Earthy,Pine,Flowery,
Black-Ice,indica,4.1,Relaxed,Sleepy,Happy,Hungry,Tingly,Earthy,Citrus,Sweet,
Black-Jack,hybrid,4.4,Relaxed,Happy,Euphoric,Uplifted,Talkative,Earthy,Sweet,Pine,
Black-Label-Kush,indica,4.1,Euphoric,Relaxed,Sleepy,Uplifted,Focused,Woody,Berry,Earthy,
Black-Larry-Bird,indica,4,Tingly,Uplifted,Creative,Euphoric,Focused,None,,,
Black-Lime-Special-Reserve,indica,4.5,Relaxed,Happy,Euphoric,Tingly,Sleepy,Lime,Pepper,Citrus,
Black-Magic,hybrid,4,Happy,Relaxed,Uplifted,Euphoric,,Earthy,,,
Black-Magic-Kush,indica,4.2,Happy,Relaxed,Sleepy,Hungry,Talkative,Earthy,Berry,Woody,
Black-Mamba,indica,4.6,Happy,Relaxed,Euphoric,Uplifted,Talkative,Sweet,Grape,Woody,
Black-Roses,indica,4,Relaxed,Sleepy,Uplifted,Euphoric,Focused,None,,,
Black-Russian,indica,4.3,Relaxed,Sleepy,Uplifted,Happy,Hungry,Citrus,Berry,Earthy,
Black-Tuna,hybrid,4.5,Relaxed,Happy,Sleepy,Euphoric,Hungry,Earthy,Woody,Skunk,
Black-Velvet,hybrid,3.9,Sleepy,Happy,Hungry,Relaxed,Euphoric,Sweet,Flowery,Citrus,
Black-Widow,hybrid,4.1,Happy,Relaxed,Euphoric,Sleepy,Uplifted,Earthy,Sweet,Pungent,
Blackberry,hybrid,4.2,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Berry,Sweet,Earthy,
Blackberry-Bubble,indica,4.7,Relaxed,Happy,Euphoric,Uplifted,Creative,Berry,Blueberry,Skunk,
Blackberry-Chem-Og,hybrid,4.3,Talkative,Creative,Focused,Relaxed,Euphoric,Berry,Chemical,,
Blackberry-Cream,indica,4.8,Relaxed,Happy,Uplifted,Sleepy,Euphoric,Berry,Sweet,Vanilla,
Blackberry-Diesel,sativa,4.1,Happy,Energetic,Relaxed,Euphoric,Talkative,Diesel,Spicy/Herbal,Pungent,
Blackberry-Dream,hybrid,4.2,Happy,Energetic,Uplifted,Relaxed,Talkative,Spicy/Herbal,Sweet,Grapefruit,
Blackberry-Fire,hybrid,5,Creative,Happy,,,,Sweet,Berry,Blueberry,
Blackberry-Hashplant,indica,3.7,Euphoric,Sleepy,Uplifted,Energetic,Happy,Berry,Sweet,Earthy,
Blackberry-Haze,sativa,4.5,Happy,Relaxed,Uplifted,Hungry,Focused,Berry,Sweet,Spicy/Herbal,
Blackberry-Kush,indica,4.3,Relaxed,Sleepy,Happy,Euphoric,Hungry,Berry,Sweet,Earthy,
Blackberry-Lime-Haze,sativa,4.7,Happy,Uplifted,Euphoric,Talkative,Focused,Berry,Sweet,Lime,
Blackberry-Pie,hybrid,4.7,Euphoric,Creative,Hungry,Relaxed,Happy,Sweet,Blueberry,Berry,
Blackberry-Rhino,indica,4.3,Relaxed,Happy,Creative,Hungry,Sleepy,Berry,Sweet,Spicy/Herbal,
Blackberry-Trainwreck,hybrid,4.3,Relaxed,Euphoric,Happy,Uplifted,Energetic,Berry,Sweet,Pungent,
Blackberry-X-Blueberry,indica,4.3,Relaxed,Happy,Uplifted,Euphoric,Creative,Berry,Earthy,Blueberry,
Blackwater,indica,4.6,Relaxed,Sleepy,Euphoric,Happy,Hungry,Earthy,Berry,Grape,
Blaze,sativa,4.3,Euphoric,Energetic,Talkative,Creative,Aroused,Blueberry,Sweet,Berry,
Blissful-Wizard,hybrid,4.8,Happy,Talkative,Euphoric,Relaxed,Uplifted,Earthy,Vanilla,Pungent,
Blizzard-Bush,hybrid,0,None,,,,,None,,,
Blob-Og,hybrid,4.7,Euphoric,Talkative,Uplifted,Creative,Happy,Diesel,Lemon,Chemical,
Blockhead,hybrid,4.2,Relaxed,Happy,Hungry,Uplifted,Euphoric,Pungent,Woody,Flowery,
Blood-Orange-Kush,indica,5,Sleepy,Uplifted,Euphoric,Happy,Creative,Diesel,Citrus,Orange,
Bloodhound,hybrid,4.2,Happy,Relaxed,Focused,Talkative,Euphoric,Earthy,Sage,Spicy/Herbal,
Bloos-Kloos,indica,4.6,Creative,Relaxed,Happy,Euphoric,Focused,Flowery,Earthy,Berry,
Blowfish,hybrid,4.2,Relaxed,Uplifted,Happy,Euphoric,Tingly,Spicy/Herbal,Pepper,Sage,
Blucifer,sativa,4.3,Happy,Uplifted,Relaxed,Talkative,Focused,Blueberry,Spicy/Herbal,Berry,
Blue-Afghani,indica,4.4,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Blueberry,Woody,Pungent,
Blue-Alien,indica,4.5,Relaxed,Happy,Euphoric,Uplifted,Hungry,Blueberry,Berry,Citrus,
Blue-Bastard,indica,3.8,Euphoric,Happy,Sleepy,Uplifted,Creative,Berry,Pine,,
Blue-Bayou,sativa,2.8,Giggly,Uplifted,Creative,Happy,Sleepy,Sweet,,,
Blue-Blood,indica,4.2,Relaxed,Sleepy,Hungry,Talkative,Focused,Sweet,Blueberry,Earthy,
Blue-Boy,hybrid,4.1,Happy,Relaxed,Giggly,Euphoric,Aroused,Earthy,Pungent,Flowery,
Blue-Buddha,indica,4.9,Relaxed,Euphoric,Sleepy,Uplifted,Happy,Blueberry,Citrus,Cheese,
Blue-Champange,hybrid,4.4,Uplifted,Happy,Relaxed,Creative,Euphoric,Sweet,Blueberry,Berry,
Blue-Cheese,indica,4.3,Relaxed,Happy,Euphoric,Sleepy,Hungry,Blue,Cheese,Cheese,Blueberry
Blue-Cinex,hybrid,4.7,Focused,Uplifted,Happy,Energetic,Sleepy,Blueberry,Earthy,,
Blue-Cookies,hybrid,4.7,Relaxed,Euphoric,Happy,Uplifted,Creative,Berry,Blueberry,Sweet,
Aurora-Indica,indica,4.4,Relaxed,Sleepy,Happy,Euphoric,Uplifted,Earthy,Spicy/Herbal,Tropical,
Avalon,hybrid,3.6,Aroused,Tingly,Hungry,Uplifted,Giggly,Sweet,Earthy,Nutty,
Avi,hybrid,3,Relaxed,Focused,Uplifted,Creative,Happy,Earthy,Pungent,,
Bediol,sativa,4.7,Relaxed,Talkative,Happy,Focused,Uplifted,Mango,Citrus,Lemon,
Bell-Ringer,indica,5,Relaxed,Sleepy,Euphoric,Hungry,Happy,Sweet,Citrus,Pungent,
Belladonna,hybrid,4,Happy,Sleepy,Giggly,Euphoric,Uplifted,Peach,Earthy,Butter,
Berkeley,sativa,4.3,Talkative,Happy,Uplifted,Energetic,Focused,Citrus,Sweet,Pungent,
Bermuda-Sour,hybrid,0,None,,,,,None,,,
Berry-Bomb,hybrid,4.2,Relaxed,Happy,Euphoric,Tingly,Sleepy,Berry,Blueberry,Flowery,
Berry-Larry,hybrid,4.8,Relaxed,Uplifted,Creative,Euphoric,Talkative,Berry,Citrus,Orange,
Blue-Goo,hybrid,4.1,Happy,Uplifted,Creative,Energetic,Talkative,Berry,Skunk,Pine,
Blue-Hash,hybrid,4.4,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Sweet,Blueberry,Earthy,
Blue-Hawaiian,hybrid,4.3,Happy,Uplifted,Relaxed,Euphoric,Energetic,Citrus,Earthy,Sweet,
Blue-Haze,hybrid,4.3,Uplifted,Euphoric,Relaxed,Happy,Energetic,Blueberry,Sweet,Flowery,
Lucy,hybrid,4.4,Relaxed,Sleepy,Uplifted,Happy,Hungry,Earthy,Woody,Sweet,
Lvpk,hybrid,4.6,Happy,Relaxed,Hungry,Sleepy,Uplifted,Sweet,Earthy,Berry,
M-39,indica,3.2,Relaxed,Sleepy,Happy,Hungry,Euphoric,Woody,Earthy,Lemon,
Mad-Dawg,hybrid,4.5,Happy,Uplifted,Hungry,Talkative,Energetic,Sweet,Earthy,Citrus,
Mad-Scientist,indica,4.6,Relaxed,Uplifted,Focused,Euphoric,Happy,Woody,Pungent,Pine,
Madagascar,indica,4.1,Sleepy,Relaxed,Hungry,Happy,Euphoric,Earthy,Sweet,Skunk,
Blue-Crack,hybrid,4.2,Happy,Relaxed,Uplifted,Energetic,Focused,Blueberry,Sweet,Berry,
Blue-Diamond,indica,4.4,Euphoric,Relaxed,Happy,Sleepy,Talkative,Sweet,Tree,Fruit,Pineapple
Blue-Diesel,hybrid,4.4,Relaxed,Euphoric,Uplifted,Happy,Creative,Blueberry,Diesel,Berry,
Blue-Dot,sativa,4.7,Energetic,Happy,Relaxed,Focused,Uplifted,Earthy,Pungent,Berry,
Blue-Dragon,hybrid,4.4,Euphoric,Uplifted,Relaxed,Happy,Giggly,Blueberry,Berry,Sweet,
Blue-Dream,hybrid,4.4,Relaxed,Happy,Uplifted,Euphoric,Creative,Blueberry,Berry,Sweet,
Blue-Dynamite,indica,4.3,Relaxed,Euphoric,Focused,Creative,Sleepy,Berry,Spicy/Herbal,Pine,
Blue-Frost,hybrid,4.5,Uplifted,Happy,Relaxed,Euphoric,Creative,Blueberry,Cheese,Menthol,
Blue-Galaxy,hybrid,4.7,Relaxed,Happy,Talkative,Creative,Energetic,Berry,Earthy,Blueberry,
Blue-God,indica,4.7,Relaxed,Happy,Sleepy,Euphoric,Hungry,Berry,Sweet,Blueberry,
Madcow,sativa,3.4,Sleepy,Uplifted,Energetic,Relaxed,Talkative,Sweet,Earthy,Ammonia,
Madman-Og,hybrid,4.6,Relaxed,Sleepy,Hungry,Uplifted,Euphoric,Earthy,Pine,Woody,
Madzilla,indica,5,Tingly,Uplifted,Euphoric,Happy,Relaxed,Earthy,Woody,Pine,
Mag-Landrace,indica,4.6,Relaxed,Happy,Sleepy,Euphoric,Uplifted,Earthy,Sweet,Pungent,
Magic-Beans-Og,indica,4.2,Happy,Sleepy,Euphoric,Relaxed,Tingly,Lemon,Woody,Pine,
Magic-Jordan,hybrid,4,Euphoric,Focused,Tingly,Uplifted,Creative,Minty,Orange,Lemon,
Magnum,hybrid,3.9,Energetic,Happy,Creative,Uplifted,Euphoric,Earthy,Citrus,Lemon,
Magnum-Pi,sativa,4.3,Uplifted,Focused,Energetic,Euphoric,Creative,Tropical,Citrus,Orange,
Mai-Tai-Cookies,hybrid,4.9,Happy,Relaxed,Euphoric,Creative,Uplifted,Orange,Tree,Fruit,Spicy/Herbal
Majestic-12,hybrid,4.8,Relaxed,Tingly,Happy,Euphoric,Creative,Earthy,Sweet,Berry,
Mako-Haze,sativa,4.2,Euphoric,Happy,Relaxed,Hungry,Uplifted,Pine,Citrus,Earthy,
Malakoff,sativa,3.7,Focused,Talkative,Creative,Energetic,Happy,Sweet,Earthy,Woody,
Malawi,sativa,4.4,Energetic,Uplifted,Focused,Happy,Creative,Earthy,Flowery,Grape,
Mammoth,hybrid,4.5,Happy,Relaxed,Focused,Uplifted,Creative,Honey,Earthy,Woody,
Mandala-1,hybrid,4.3,Euphoric,Creative,Energetic,Uplifted,Focused,Apple,Minty,Berry,
Mango,indica,4.1,Relaxed,Sleepy,Happy,Euphoric,Focused,Mango,Earthy,Sweet,
Mango-Dream,sativa,3.9,Talkative,Happy,Euphoric,Relaxed,Creative,Mango,Tropical,Earthy,
Mango-Habanero,hybrid,3.5,Focused,Uplifted,Creative,Energetic,Euphoric,Pepper,Spicy/Herbal,Sweet,
Mango-Haze,sativa,4.6,Happy,Relaxed,Euphoric,Focused,Uplifted,Mango,Sweet,Tropical,
Mango-Kush,hybrid,4.3,Happy,Relaxed,Uplifted,Euphoric,Giggly,Mango,Sweet,Citrus,
Mars-Og,indica,4.4,Relaxed,Sleepy,Hungry,Euphoric,Focused,Pine,Woody,Citrus,
Martian-Candy,hybrid,4.7,Relaxed,Happy,Uplifted,Euphoric,Talkative,Sweet,Woody,Earthy,
Martian-Mean-Green,hybrid,4.2,Euphoric,Happy,Hungry,Uplifted,Focused,Sweet,Citrus,Grapefruit,
Martian-Muffins,indica,0,None,,,,,None,,,
Master-Bubba,indica,4.3,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Earthy,Pungent,Skunk,
Lemonhead-Og,hybrid,4.9,Relaxed,Uplifted,Happy,Euphoric,Creative,Lemon,Citrus,Sweet,
Lennon,sativa,0,None,,,,,None,,,
Master-Jedi,indica,4.4,Relaxed,Euphoric,Creative,Focused,Uplifted,Skunk,Spicy/Herbal,Diesel,
Leonidas,sativa,4,Focused,Aroused,Uplifted,Creative,Energetic,Grape,Lavender,Violet,
Master-Kush,indica,4.3,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Earthy,Pungent,Woody,
Mango-Tango,hybrid,4.6,Relaxed,Happy,Euphoric,Giggly,Sleepy,Mango,Tropical,Citrus,
Mangolicious,indica,5,Uplifted,Focused,Relaxed,Giggly,Happy,Sweet,Tropical,Pineapple,
Manitoba-Poison,hybrid,4.5,Relaxed,Happy,Sleepy,Focused,Uplifted,Spicy/Herbal,Earthy,Cheese,
Maple-Leaf-Indica,indica,4.3,Relaxed,Sleepy,Tingly,Euphoric,Happy,Sweet,Butter,Woody,
Maramota-10,hybrid,5,Talkative,Energetic,Giggly,Relaxed,,Sweet,Berry,Earthy,
Lemonder,hybrid,4.5,Happy,Uplifted,Giggly,Energetic,Euphoric,Citrus,Lemon,Earthy,
Marcosus-Marshmellow,hybrid,3.9,Euphoric,Uplifted,Happy,Creative,Energetic,Minty,Sweet,Berry,
Margaret-Cho-G,hybrid,4.7,Euphoric,Focused,Relaxed,Talkative,Uplifted,Sweet,Grapefruit,Honey,
Marionberry-Kush,hybrid,4.5,Happy,Relaxed,Uplifted,Euphoric,Creative,Berry,Earthy,Sweet,
Marleys-Collie,hybrid,4.3,Focused,Aroused,Hungry,Tingly,Relaxed,Sweet,,,
Lethal-Purple,hybrid,3.3,Talkative,Creative,Euphoric,Happy,Hungry,Sweet,Grape,Flowery,
Liberty-Haze,hybrid,4.5,Happy,Uplifted,Relaxed,Euphoric,Energetic,Citrus,Lime,Sweet,
Master-Og,indica,4.4,Relaxed,Sleepy,Happy,Hungry,Uplifted,Earthy,Pine,Pungent,
Lifesaver,hybrid,4.5,Relaxed,Euphoric,Energetic,Uplifted,Tingly,Citrus,Sweet,Berry,
Light-Of-Jah,sativa,4.6,Happy,Uplifted,Energetic,Euphoric,Relaxed,Spicy/Herbal,Tropical,Pungent,
Master-Skunk,hybrid,4.6,Relaxed,Uplifted,Euphoric,Happy,Creative,Skunk,Lemon,Honey,
Master-Yoda,hybrid,4.5,Relaxed,Happy,Euphoric,Uplifted,Focused,Pungent,Sweet,Earthy,
Matanuska-Thunder-Fuck,sativa,4.3,Happy,Euphoric,Energetic,Hungry,Relaxed,Earthy,Woody,Pungent,
Mataro-Blue,indica,4.6,Relaxed,Sleepy,Euphoric,Hungry,Tingly,Berry,Sweet,Earthy,
Matsu,indica,5,Euphoric,Tingly,Happy,Sleepy,Hungry,,,,
Mau-Mau,hybrid,4,Uplifted,Happy,Creative,Energetic,Euphoric,,,,
Maui,sativa,4.2,Relaxed,Uplifted,Tingly,Happy,Talkative,Citrus,Sweet,Tropical,
Maui-Berry,hybrid,4,Happy,Creative,Uplifted,Hungry,Energetic,Berry,Citrus,Pungent,
Maui-Bubble-Gift,hybrid,4.6,Relaxed,Uplifted,Happy,Tingly,Euphoric,Sweet,Citrus,Pungent,
Maui-Citrus-Punch,sativa,4.5,Relaxed,Energetic,Uplifted,Creative,Euphoric,Citrus,Tropical,Skunk,
Maui-Haole,hybrid,4.6,Happy,Creative,Euphoric,Aroused,Sleepy,Pungent,Tropical,Earthy,
Maui-Mango-Diesel,hybrid,4.3,Euphoric,Relaxed,Uplifted,Happy,Creative,Mango,Sweet,Diesel,
Maui-Pineapple-Chunk,hybrid,4.7,Creative,Euphoric,Uplifted,Aroused,Energetic,Tropical,Flowery,Menthol,
Maui-Wowie,sativa,4.4,Happy,Uplifted,Energetic,Relaxed,Creative,Tropical,Pineapple,Citrus,
Mazar-I-Sharif,indica,4.4,Relaxed,Sleepy,Euphoric,Happy,Hungry,Earthy,Spicy/Herbal,Pine,
Mazar-Kush,indica,4.3,Relaxed,Sleepy,Happy,Giggly,Hungry,Pungent,Earthy,Spicy/Herbal,
Mc1,hybrid,0,Hungry,Aroused,Tingly,Uplifted,Creative,Diesel,Spicy/Herbal,Sweet,
Mean-Misty,hybrid,4.2,Relaxed,Uplifted,Talkative,Tingly,Energetic,Flowery,Sweet,,
Medibud,hybrid,4.5,Uplifted,Relaxed,Euphoric,Happy,Focused,Sweet,Earthy,Skunk,
Medicine-Man,hybrid,4.4,Relaxed,Uplifted,Sleepy,Happy,Euphoric,Berry,Woody,Earthy,
Medicine-Woman,hybrid,4.6,Uplifted,Happy,Relaxed,Euphoric,Creative,Earthy,Citrus,Diesel,
Ninja-Fruit,hybrid,4.5,Happy,Relaxed,Sleepy,Uplifted,Aroused,Grape,Citrus,Sweet,
Nl5-Haze-Mist,sativa,4.3,Happy,Euphoric,Relaxed,Uplifted,Creative,Earthy,Sweet,Tropical,
Medihaze,sativa,4.6,Relaxed,Happy,Focused,Uplifted,Energetic,Earthy,Sweet,Spicy/Herbal,
Medusa,hybrid,4.1,Relaxed,Happy,Euphoric,Creative,Uplifted,Earthy,Blueberry,Pungent,
Lime-Sorbet,indica,5,Relaxed,Euphoric,Sleepy,Happy,Giggly,Lime,Citrus,Sweet,
Limon,sativa,4.8,Happy,Creative,Euphoric,Energetic,Giggly,Lemon,Citrus,Diesel,
Lions-Gate,indica,4.4,Happy,Uplifted,Energetic,Focused,Creative,Menthol,Sage,Citrus,
Liquid-Butter,indica,4.5,Relaxed,Sleepy,Happy,Talkative,Giggly,Butter,Earthy,Woody,
Little-Devil,hybrid,4.2,Uplifted,Energetic,Happy,Relaxed,Aroused,None,,,
Little-Dragon,hybrid,5,Uplifted,Euphoric,Happy,Relaxed,Talkative,Diesel,Minty,Woody,
North-American,indica,4.7,Relaxed,Focused,Sleepy,Uplifted,Giggly,Earthy,Woody,Spicy/Herbal,
Mendo-Breath,indica,4.8,Relaxed,Euphoric,Sleepy,Happy,Uplifted,Earthy,Pungent,Sweet,
North-American-Sativa,sativa,4.8,Uplifted,Euphoric,Focused,Happy,Relaxed,Earthy,Pungent,Skunk,
North-Indian,indica,4,Uplifted,Happy,Hungry,Aroused,Sleepy,Tropical,Earthy,Woody,
Northern-Cross,hybrid,4,Uplifted,Creative,Energetic,Euphoric,Focused,Sweet,Flowery,Tea,
Northern-Lights,indica,4.4,Relaxed,Sleepy,Happy,Euphoric,Uplifted,Earthy,Sweet,Pine,
Locktite,hybrid,4.3,Relaxed,Happy,Uplifted,Tingly,Euphoric,Diesel,Citrus,Woody,
Northern-Lights--5,indica,4.4,Happy,Uplifted,Relaxed,Euphoric,Focused,Pine,Sweet,Citrus,
Northern-Lights-5-X-Haze,sativa,4.4,Happy,Talkative,Relaxed,Uplifted,Energetic,Earthy,Flowery,Sweet,
Locomotion,indica,4.6,Euphoric,Happy,Relaxed,Uplifted,Aroused,Earthy,Sweet,Pungent,
Northern-Skunk,hybrid,4.5,Happy,Relaxed,Euphoric,Uplifted,Hungry,Skunk,Earthy,Pungent,
Lodi-Dodi,hybrid,4.5,Happy,Giggly,Energetic,Euphoric,Uplifted,Sweet,Flowery,Tropical,
Northern-Wreck,indica,4.8,Relaxed,Euphoric,Happy,Tingly,Creative,Earthy,Woody,Citrus,
Logic-Diesel,hybrid,4.8,Talkative,Energetic,Happy,Uplifted,Euphoric,Diesel,Skunk,Minty,
Mega-Jackpot,hybrid,4,Relaxed,Happy,Uplifted,Euphoric,Hungry,Berry,Strawberry,Grape,
Nordle,indica,4.4,Relaxed,Happy,Creative,Uplifted,Focused,Sweet,Citrus,Pungent,
Megalodon,sativa,4.4,Uplifted,Happy,Hungry,Creative,Euphoric,Skunk,Pungent,Earthy,
Mekamika-Haze,sativa,5,Uplifted,Creative,Energetic,Euphoric,Focused,Pineapple,Mango,Flowery,
Lime-Green-Skunk,hybrid,4.5,Happy,Euphoric,Uplifted,Relaxed,Focused,Lime,Citrus,Tropical,
Melon-Gum,hybrid,4.3,Happy,Relaxed,Creative,Euphoric,Focused,Sweet,Lavender,Flowery,
Lime-Purple-Mist,indica,4.3,Happy,Relaxed,Tingly,Sleepy,Uplifted,Berry,Lime,Sweet,
Lime-Skunk,sativa,4.8,Uplifted,Creative,Happy,Euphoric,Energetic,Lime,Citrus,Pungent,
Memory-Loss,sativa,4.6,Creative,Uplifted,Happy,Euphoric,Talkative,Earthy,Sweet,Woody,
Mendo-Afgoo,indica,5,Sleepy,Hungry,Relaxed,Uplifted,Euphoric,Earthy,Pungent,Skunk,
Northernberry,indica,4.6,Relaxed,Sleepy,Happy,Euphoric,Uplifted,Earthy,Berry,Sweet,
Northwest-Pineapple,hybrid,5,Uplifted,Euphoric,Happy,Relaxed,,Sweet,Pineapple,,
Longbottom-Leaf,hybrid,4.8,Euphoric,Happy,Uplifted,Energetic,Hungry,Pepper,Sweet,Spicy/Herbal,
Nova,indica,4.9,Happy,Creative,Euphoric,Relaxed,Uplifted,Berry,Earthy,Woody,
Lost-Coast-Og,hybrid,4.5,Relaxed,Euphoric,Uplifted,Happy,Creative,Earthy,Lemon,Citrus,
Nuclear-Cookies,hybrid,4.7,None,,,,,None,,,
Nuggetry-Og,indica,3.9,Creative,Euphoric,Sleepy,Giggly,Happy,Earthy,Pungent,,
Nuken,indica,4.5,Relaxed,Happy,Uplifted,Sleepy,Euphoric,Sweet,Earthy,Woody,
Nurse-Jackie,sativa,4.4,Euphoric,Relaxed,Uplifted,Happy,Energetic,Lemon,Pine,Menthol,
Mendocino-Madness,hybrid,4,Dry,Mouth,,,,Earthy,Chestnut,,
Merlot-Og,indica,4.9,Relaxed,Happy,Uplifted,Euphoric,Tingly,Butter,Flowery,Earthy,
Love-Potion-9,indica,4.2,Euphoric,Happy,Talkative,Focused,Energetic,Sweet,Flowery,Honey,
Mexican,sativa,3.4,Uplifted,Euphoric,Giggly,Energetic,Talkative,Earthy,Woody,Diesel,
Lowryder,hybrid,4.4,Relaxed,Uplifted,Happy,Creative,Sleepy,Sweet,Pine,Citrus,
Obama-Kush,indica,4.4,Relaxed,Happy,Euphoric,Uplifted,Creative,Earthy,Sweet,Pungent,
Mexican-Sativa,sativa,3.3,Happy,Uplifted,Energetic,Hungry,Focused,Woody,Earthy,Nutty,
Loyality,hybrid,5,Tingly,Relaxed,Focused,Uplifted,Creative,Pungent,Citrus,Earthy,
Oca-Gold,indica,4.8,Sleepy,Relaxed,Tingly,Euphoric,Happy,Spicy/Herbal,Sweet,Flowery,
Michael-Phelps-Og,hybrid,4.4,Relaxed,Hungry,Sleepy,Creative,Talkative,Pine,Pear,Earthy,
Lsd,hybrid,4.3,Happy,Relaxed,Euphoric,Uplifted,Creative,Earthy,Pungent,Citrus,
Ny-47,hybrid,4.2,Hungry,Euphoric,Uplifted,Energetic,Relaxed,Diesel,Citrus,Grapefruit,
Lost-Sierra-Night-Nurse,hybrid,0,None,,,,,None,,,
Ny-Cheese,hybrid,4.3,Hungry,Happy,Creative,Uplifted,Energetic,Earthy,Woody,Cheese,
Loud-Dream,hybrid,4.1,Happy,Focused,Euphoric,Creative,Uplifted,Pine,Earthy,Spicy/Herbal,
Mendocino-Purps,hybrid,4.3,Relaxed,Happy,Euphoric,Tingly,Hungry,Earthy,Grape,Flowery,
